Feature Group,Model,Fold,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Duration (s)
AdaBoost_SVM_Best,AdaBoost SVM,Average,0.8203255152047948,0.8303399290076763,0.8203255152047948,0.8190741535222607,0.7182673267326732,0.7291161336727432,0.7182673267326732,0.7146218052698611,13.794357132911681
AdaBoost_SVM_Best,AdaBoost SVM,1,0.8125689084895259,0.8214427072981503,0.8125689084895259,0.8113424467702081,0.7326732673267327,0.7400643703334261,0.7326732673267327,0.7307801260236145,14.323822259902954
AdaBoost_SVM_Best,AdaBoost SVM,2,0.8224917309812569,0.8316981599146284,0.8224917309812569,0.8215395115671807,0.7524752475247525,0.7533710513908533,0.7524752475247525,0.7469925403334936,13.889861345291138
AdaBoost_SVM_Best,AdaBoost SVM,3,0.8158765159867696,0.8253675967242845,0.8158765159867696,0.8151742183444596,0.7722772277227723,0.7720895301311338,0.7722772277227723,0.7694059925511356,13.846238851547241
AdaBoost_SVM_Best,AdaBoost SVM,4,0.8224917309812569,0.83409321332923,0.8224917309812569,0.8215966733177477,0.6732673267326733,0.6770589840938981,0.6732673267326733,0.668468530526522,13.950214385986328
AdaBoost_SVM_Best,AdaBoost SVM,5,0.8213891951488423,0.8368053655872952,0.8213891951488423,0.8204269916081262,0.6732673267326733,0.702980722782703,0.6732673267326733,0.6735053254960566,13.619928121566772
AdaBoost_SVM_Best,AdaBoost SVM,6,0.8224917309812569,0.8328640104656151,0.8224917309812569,0.8197176238894793,0.693069306930693,0.7196938181213078,0.693069306930693,0.6927093312953025,13.50240707397461
AdaBoost_SVM_Best,AdaBoost SVM,7,0.8180815876515987,0.827747253829663,0.8180815876515987,0.8167124228993404,0.7623762376237624,0.7663873146364409,0.7623762376237624,0.7597816117195133,13.663682222366333
AdaBoost_SVM_Best,AdaBoost SVM,8,0.8202866593164277,0.8272036194641348,0.8202866593164277,0.8191189694531416,0.6732673267326733,0.6758835510880281,0.6732673267326733,0.6718441790987609,13.687281131744385
AdaBoost_SVM_Best,AdaBoost SVM,9,0.8248898678414097,0.8355100136878403,0.8248898678414097,0.8232574170418171,0.7,0.7351835093011565,0.7,0.6901479128856625,13.657004594802856
AdaBoost_SVM_Best,AdaBoost SVM,10,0.8226872246696035,0.8306673497759204,0.8226872246696035,0.8218552603311065,0.75,0.7484484848484848,0.75,0.7425825027685492,13.803131341934204
