Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
rgb,Bagging SVM,0.816468253968254,0.8285093755255792,0.816468253968254,0.8153018258803963,0.7251732101616628,0.7396235998492543,0.7251732101616628,0.7204640398532027,"r, g, b",1.19,Gabungan Fitur,3
RGB,Bagging SVM,0.816468253968254,0.8285093755255792,0.816468253968254,0.8153018258803963,0.7251732101616628,0.7396235998492543,0.7251732101616628,0.7204640398532027,"R, G, B",4.12,Gabungan Fitur,3
rgb_G/Bratio,Bagging SVM,0.8244047619047619,0.8321366281323638,0.8244047619047619,0.8227584504986551,0.7205542725173211,0.730849476935346,0.7205542725173211,0.7154761875305783,"r, g, b, G/Bratio",1.29,Gabungan Fitur,4
RGB_G/Bratio,Bagging SVM,0.8244047619047619,0.8321366281323638,0.8244047619047619,0.8227584504986551,0.7205542725173211,0.730849476935346,0.7205542725173211,0.7154761875305783,"R, G, B, G/Bratio",1.3,Gabungan Fitur,4
CLab_G/Bratio,Bagging SVM,0.8244047619047619,0.8323357732270397,0.8244047619047619,0.8226199273983477,0.7182448036951501,0.7318839354448476,0.7182448036951501,0.7138151794455228,"G/Bratio, cL, ca, cb",1.34,Gabungan Fitur,4
CLab,Bagging SVM,0.8234126984126984,0.8310501296056674,0.8234126984126984,0.8216722189678097,0.7159353348729792,0.7262930444109169,0.7159353348729792,0.7111019347909544,"cL, ca, cb",1.25,Gabungan Fitur,3
HSV,Bagging SVM,0.8204365079365079,0.8286633920527149,0.8204365079365079,0.8185428523015968,0.7136258660508084,0.7261432046989417,0.7136258660508084,0.7095266374491319,"H, S, V",1.23,Gabungan Fitur,3
HSV_G/Bratio,Bagging SVM,0.8244047619047619,0.8322038436586756,0.8244047619047619,0.8228709976541518,0.7113163972286374,0.7242894946092805,0.7113163972286374,0.7074353784359504,"G/Bratio, H, S, V",1.2,Gabungan Fitur,4
HSV_R/Gratio_G/Bratio,Bagging SVM,0.8263888888888888,0.8329519682560178,0.8263888888888888,0.8246537860311463,0.7113163972286374,0.7227457087947929,0.7113163972286374,0.705945660405233,"R/Gratio, G/Bratio, H, S, V",1.56,Gabungan Fitur,5
HSV_R/Gratio,Bagging SVM,0.8253968253968254,0.8323539510518008,0.8253968253968254,0.8237112713954012,0.7090069284064665,0.7197405363667146,0.7090069284064665,0.7034649204595987,"R/Gratio, H, S, V",1.35,Gabungan Fitur,4
