Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
ADABOOST SVM_PCA_n_components-10,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),24.81,Algoritma,1
ADABOOST SVM_PCA_n_components-11,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),25.19,Algoritma,1
ADABOOST SVM_MUTUAL_INFO_n_features-4,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, S, cL",25.99,Algoritma,4
ADABOOST SVM_MUTUAL_INFO_n_features-9,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"G, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",26.09,Algoritma,9
ADABOOST SVM_PCA_n_components-5,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),26.15,Algoritma,1
ADABOOST SVM_MUTUAL_INFO_n_features-7,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, H, S, cL, ca, cb",26.25,Algoritma,7
ADABOOST SVM_MUTUAL_INFO_n_features-6,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, H, S, cL, ca",26.29,Algoritma,6
ADABOOST SVM_MUTUAL_INFO_n_features-5,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, H, cL, ca",26.56,Algoritma,5
ADABOOST SVM_MUTUAL_INFO_n_features-8,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"r, R/Gratio, G/Bratio, H, S, cL, ca, cb",26.81,Algoritma,8
ADABOOST SVM_PCA_n_components-13,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),27.08,Algoritma,1
ADABOOST SVM_PCA_n_components-14,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),27.09,Algoritma,1
ADABOOST SVM_MUTUAL_INFO_n_features-10,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"G, r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",27.45,Algoritma,10
ADABOOST SVM_PCA_n_components-12,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),27.98,Algoritma,1
ADABOOST SVM_PCA_n_components-4,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),28.24,Algoritma,1
ADABOOST SVM_PCA_n_components-3,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),29.25,Algoritma,1
ADABOOST SVM_MUTUAL_INFO_n_features-3,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, cL",29.66,Algoritma,3
ADABOOST SVM_MUTUAL_INFO_n_features-11,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R, G, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",29.94,Algoritma,11
ADABOOST SVM_MUTUAL_INFO_n_features-14,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",30.33,Algoritma,14
ADABOOST SVM_MUTUAL_INFO_n_features-12,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",30.95,Algoritma,12
ADABOOST SVM_MUTUAL_INFO_n_features-13,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R, G, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",31.04,Algoritma,13
rgb_HSV_R/Gratio,AdaBoost SVM,0.4642857142857143,0.5282691603039955,0.4642857142857143,0.4027543405538501,0.4133949191685912,0.5003705599325059,0.4133949191685912,0.3595043232619635,"r, g, b, R/Gratio, H, S, V",20.19,Gabungan Fitur,7
CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.4623015873015873,0.5909657852255091,0.4623015873015873,0.3998936781060906,0.4087759815242494,0.556148837685491,0.4087759815242494,0.342920959408048,"R/Gratio, G/Bratio, cL, ca, cb",17.95,Gabungan Fitur,5
RGB_CLab,AdaBoost SVM,0.4583333333333333,0.584262590349912,0.4583333333333333,0.4004107819600659,0.3995381062355658,0.5473517762322916,0.3995381062355658,0.3434266538154736,"R, G, B, cL, ca, cb",18.14,Gabungan Fitur,6
RGB_R/Gratio_G/Bratio,AdaBoost SVM,0.4573412698412698,0.5917367386329971,0.4573412698412698,0.4014038561263165,0.3972286374133949,0.5417966604253912,0.3972286374133949,0.345798787503099,"R, G, B, R/Gratio, G/Bratio",17.04,Gabungan Fitur,5
RGB_rgb_HSV_CLab,AdaBoost SVM,0.4513888888888889,0.6086507850439343,0.4513888888888889,0.3922087017910199,0.394919168591224,0.6496380972041235,0.394919168591224,0.3412447515454221,"R, G, B, r, g, b, H, S, V, cL, ca, cb",20.48,Gabungan Fitur,12
RGB_HSV_CLab_R/Gratio,AdaBoost SVM,0.4573412698412698,0.6017414448784612,0.4573412698412698,0.397630345949328,0.394919168591224,0.5914304514430956,0.394919168591224,0.3309653562589927,"R, G, B, R/Gratio, H, S, V, cL, ca, cb",20.26,Gabungan Fitur,10
rgb_HSV_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.4533730158730158,0.531539398087023,0.4533730158730158,0.3925020278283208,0.3926096997690531,0.5177285694878413,0.3926096997690531,0.3350755260029779,"r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",24.07,Gabungan Fitur,11
RGB_rgb_R/Gratio_G/Bratio,AdaBoost SVM,0.4365079365079365,0.5966323404207414,0.4365079365079365,0.3760400807649979,0.3856812933025404,0.6200870475690868,0.3856812933025404,0.332305093722069,"R, G, B, r, g, b, R/Gratio, G/Bratio",19.51,Gabungan Fitur,8
rgb_CLab_G/Bratio,AdaBoost SVM,0.4474206349206349,0.6122145607579211,0.4474206349206349,0.3899834159900329,0.3810623556581986,0.6484658528538436,0.3810623556581986,0.3255602429124786,"r, g, b, G/Bratio, cL, ca, cb",18.89,Gabungan Fitur,7
RGB_CLab_R/Gratio,AdaBoost SVM,0.4404761904761904,0.519256866676607,0.4404761904761904,0.3757453976068621,0.3810623556581986,0.5066158516131819,0.3810623556581986,0.3223544648813907,"R, G, B, R/Gratio, cL, ca, cb",18.9,Gabungan Fitur,7
HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.4325396825396825,0.5015599257647382,0.4325396825396825,0.3603530078322172,0.3787528868360277,0.4561907812733485,0.3787528868360277,0.3071093648460853,"R/Gratio, G/Bratio, H, S, V",17.18,Gabungan Fitur,5
RGB_CLab_G/Bratio,AdaBoost SVM,0.4503968253968254,0.4849861924933465,0.4503968253968254,0.3863459834080898,0.3787528868360277,0.4263974608216849,0.3787528868360277,0.3172330476375526,"R, G, B, G/Bratio, cL, ca, cb",18.26,Gabungan Fitur,7
HSV_R/Gratio,AdaBoost SVM,0.4375,0.5100684403339832,0.4375,0.3692141467225386,0.3764434180138568,0.4724688796437154,0.3764434180138568,0.3074402038747739,"R/Gratio, H, S, V",16.91,Gabungan Fitur,4
RGB_rgb_HSV_G/Bratio,AdaBoost SVM,0.4454365079365079,0.615421346612405,0.4454365079365079,0.3888193216620885,0.3741339491916859,0.5810908285614856,0.3741339491916859,0.3156392894718282,"R, G, B, r, g, b, G/Bratio, H, S, V",19.77,Gabungan Fitur,10
HSV_G/Bratio,AdaBoost SVM,0.4126984126984127,0.6277885474314047,0.4126984126984127,0.344222663167183,0.3741339491916859,0.5775272946541068,0.3741339491916859,0.3109256840255226,"G/Bratio, H, S, V",17.26,Gabungan Fitur,4
G/Bratio,AdaBoost SVM,0.3779761904761904,0.2048710097490585,0.3779761904761904,0.2626151227215056,0.3741339491916859,0.2118390448601017,0.3741339491916859,0.2629718360074148,G/Bratio,19.51,Gabungan Fitur,1
RGB_rgb_R/Gratio,AdaBoost SVM,0.3988095238095238,0.5097368811831517,0.3988095238095238,0.3059651454778579,0.371824480369515,0.5882097217639942,0.371824480369515,0.2825363290387289,"R, G, B, r, g, b, R/Gratio",18.21,Gabungan Fitur,7
HSV_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.431547619047619,0.5992042123404989,0.431547619047619,0.3686393578331669,0.371824480369515,0.558962127235326,0.371824480369515,0.3069263191173763,"R/Gratio, G/Bratio, H, S, V, cL, ca, cb",19.06,Gabungan Fitur,8
HSV_CLab_R/Gratio,AdaBoost SVM,0.4414682539682539,0.5114899239926425,0.4414682539682539,0.3758736724277367,0.3695150115473441,0.4680576714109002,0.3695150115473441,0.3008291847595427,"R/Gratio, H, S, V, cL, ca, cb",18.62,Gabungan Fitur,7
RGB_rgb_HSV,AdaBoost SVM,0.4345238095238095,0.5342009442834557,0.4345238095238095,0.3686994533783272,0.3672055427251732,0.4926658622291553,0.3672055427251732,0.2945150015004004,"R, G, B, r, g, b, H, S, V",19.85,Gabungan Fitur,9
rgb_HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.435515873015873,0.5166560455409086,0.435515873015873,0.3689188391159254,0.3672055427251732,0.4723924948272819,0.3672055427251732,0.294345087563143,"r, g, b, R/Gratio, G/Bratio, H, S, V",17.86,Gabungan Fitur,8
