Feature Group,Model,Fold,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Duration (s)
AdaBoost_DT_Best,AdaBoost DT,Average,0.8242944013521848,0.8362224382363328,0.8242944013521848,0.8227573201109927,0.7371188118811881,0.7491699291804995,0.7371188118811881,0.7340767031384081,0.8329963684082031
AdaBoost_DT_Best,AdaBoost DT,1,0.8202866593164277,0.8377953471039724,0.8202866593164277,0.8183118302104954,0.7227722772277227,0.7326172617261725,0.7227722772277227,0.7181642077251204,0.8164834976196289
AdaBoost_DT_Best,AdaBoost DT,2,0.8235942668136714,0.8373935478361682,0.8235942668136714,0.8222752469567802,0.7326732673267327,0.7305855585558557,0.7326732673267327,0.7269752039142534,0.8352553844451904
AdaBoost_DT_Best,AdaBoost DT,3,0.8235942668136714,0.8363307270867233,0.8235942668136714,0.8228637332788363,0.7821782178217822,0.7813167572016668,0.7821782178217822,0.7803199413680558,0.8620011806488037
AdaBoost_DT_Best,AdaBoost DT,4,0.8235942668136714,0.8364713773993182,0.8235942668136714,0.822218866560135,0.7326732673267327,0.7669272190376933,0.7326732673267327,0.7307932031593252,0.8025457859039307
AdaBoost_DT_Best,AdaBoost DT,5,0.8257993384785005,0.8357689965187208,0.8257993384785005,0.8249510994411754,0.6831683168316832,0.6992534547572404,0.6831683168316832,0.6815924931993663,0.7828807830810547
AdaBoost_DT_Best,AdaBoost DT,6,0.8313120176405733,0.8413384345092332,0.8313120176405733,0.8286366516797378,0.7425742574257426,0.7663235134114575,0.7425742574257426,0.7427816123289425,0.8134145736694336
AdaBoost_DT_Best,AdaBoost DT,7,0.8180815876515987,0.8339496601027802,0.8180815876515987,0.8160155298593997,0.7722772277227723,0.7758014355357103,0.7722772277227723,0.7694406527921496,0.8570206165313721
AdaBoost_DT_Best,AdaBoost DT,8,0.8269018743109151,0.8360504460516895,0.8269018743109151,0.8243944256596004,0.7128712871287128,0.7297290255341324,0.7128712871287128,0.7140848413199529,0.8146350383758545
AdaBoost_DT_Best,AdaBoost DT,9,0.8215859030837004,0.8329853094670768,0.8215859030837004,0.8209802185116409,0.75,0.7686965811965811,0.75,0.7429212616972527,0.9079475402832031
AdaBoost_DT_Best,AdaBoost DT,10,0.8281938325991189,0.8341405362876456,0.8281938325991189,0.8269255989521238,0.74,0.7404484848484849,0.74,0.7336936138796604,0.8377792835235596
