Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
HSV,AdaBoost SVM,0.4396985754459927,0.5687211081731542,0.4396985754459927,0.3681534596161325,0.4157524752475248,0.5316719446652971,0.4157524752475248,0.3380553143039429,"H, S, V",159.73,Gabungan Fitur,3
RGB_rgb_CLab_R/Gratio,AdaBoost SVM,0.4339712175006921,0.5457519368338961,0.4339712175006921,0.3606191987791479,0.4147524752475248,0.4797904946021347,0.4147524752475248,0.3337830373172728,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",218.96,Gabungan Fitur,10
RGB_CLab_G/Bratio,AdaBoost SVM,0.4356187071674543,0.5513231966215063,0.4356187071674543,0.361926021073241,0.4127623762376237,0.470965423603111,0.4127623762376237,0.3313204719565073,"R, G, B, G/Bratio, cL, ca, cb",144.5,Gabungan Fitur,7
HSV_R/Gratio,AdaBoost SVM,0.4304422528644075,0.5727312044963982,0.4304422528644075,0.3553951411395082,0.4117821782178218,0.5049435436431304,0.4117821782178218,0.3290863989228568,"R/Gratio, H, S, V",143.66,Gabungan Fitur,4
RGB_HSV_G/Bratio,AdaBoost SVM,0.4403557256580002,0.5477623859242126,0.4403557256580002,0.3693241085858921,0.4098316831683169,0.5068886837118993,0.4098316831683169,0.3328743924049624,"R, G, B, G/Bratio, H, S, V",146.75,Gabungan Fitur,7
ADABOOST SVM_MUTUAL_INFO_n_features-3,AdaBoost SVM,0.44300946140881736,0.594200317266994,0.44300946140881736,0.3777222547785251,0.4097623762376238,0.5504913892196444,0.4097623762376238,0.33298374652895946,"R/Gratio, G/Bratio, cL",136.35,Algoritma,3
RGB_R/Gratio_G/Bratio,AdaBoost SVM,0.4333100602751967,0.5395287815860105,0.4333100602751967,0.359089336098953,0.4097623762376238,0.5428123219902231,0.4097623762376238,0.3320183261423145,"R, G, B, R/Gratio, G/Bratio",137.28,Gabungan Fitur,5
rgb_HSV_CLab_G/Bratio,AdaBoost SVM,0.426144184487758,0.5047721542829018,0.426144184487758,0.3474526709816529,0.4067920792079208,0.471138089780964,0.4067920792079208,0.3263190974624386,"r, g, b, G/Bratio, H, S, V, cL, ca, cb",194.81,Gabungan Fitur,10
ADABOOST SVM_MUTUAL_INFO_n_features-10,AdaBoost SVM,0.42383760181457,0.5417100650428879,0.42383760181457,0.34370663020051734,0.4067623762376237,0.5169583125389762,0.4067623762376237,0.3244178541351324,"G, r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",159.66,Algoritma,10
ADABOOST SVM_PCA_n_components-9,AdaBoost SVM,0.4145827363287985,0.5303587525787071,0.4145827363287985,0.33106894811129456,0.40573267326732676,0.5261280489464534,0.40573267326732676,0.3249939130263336,(tidak tersedia),162.11,Algoritma,1
ADABOOST SVM_MUTUAL_INFO_n_features-4,AdaBoost SVM,0.4183132658859871,0.5290593351045866,0.4183132658859871,0.3401393368805969,0.4048514851485149,0.4919833757070423,0.4048514851485149,0.3209155823117982,"R/Gratio, G/Bratio, S, cL",139.98,Algoritma,4
ADABOOST SVM_MUTUAL_INFO_n_features-7,AdaBoost SVM,0.4293453025659457,0.5337211770583242,0.4293453025659457,0.3540834539313941,0.4047920792079208,0.5166302322967649,0.4047920792079208,0.32629257554205743,"R/Gratio, G/Bratio, H, S, cL, ca, cb",152.84,Algoritma,7
HSV_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.4191901947165705,0.5098410148794325,0.4191901947165705,0.3398837922773993,0.4038811881188119,0.5013644282475844,0.4038811881188119,0.3206762726608545,"R/Gratio, G/Bratio, H, S, V, cL, ca, cb",173.7,Gabungan Fitur,8
RGB_HSV_CLab,AdaBoost SVM,0.4394806181971839,0.5442949938066791,0.4394806181971839,0.366924400439185,0.4038316831683168,0.4542311726778796,0.4038316831683168,0.3226757653833746,"R, G, B, H, S, V, cL, ca, cb",163.58,Gabungan Fitur,9
HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.426257352262627,0.5463874913782487,0.426257352262627,0.3504604903085641,0.4037920792079208,0.4927608675403309,0.4037920792079208,0.3233777712305099,"R/Gratio, G/Bratio, H, S, V",196.06,Gabungan Fitur,5
RGB_rgb_CLab_G/Bratio,AdaBoost SVM,0.4183220084608697,0.5583409543869879,0.4183220084608697,0.3407307558788971,0.4037821782178218,0.4738571541746256,0.4037821782178218,0.318201381780844,"R, G, B, r, g, b, G/Bratio, cL, ca, cb",195.86,Gabungan Fitur,10
