Feature Group,Model,Fold,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Duration (s)
AdaBoost_DT_Best,AdaBoost DT,Average,0.828152548217729,0.836196726744466,0.828152548217729,0.8265475277553265,0.741049504950495,0.7512532300644592,0.741049504950495,0.7383395663369297,0.3512346982955933
AdaBoost_DT_Best,AdaBoost DT,1,0.8235942668136714,0.8326384724010562,0.8235942668136714,0.8224025266363864,0.7821782178217822,0.7946469941111758,0.7821782178217822,0.7796013472314973,0.3580899238586426
AdaBoost_DT_Best,AdaBoost DT,2,0.8269018743109151,0.8353420869143574,0.8269018743109151,0.8255874054336255,0.7623762376237624,0.7671704012506514,0.7623762376237624,0.755026052055755,0.3409891128540039
AdaBoost_DT_Best,AdaBoost DT,3,0.8269018743109151,0.8344346997471251,0.8269018743109151,0.8255773855573263,0.7920792079207921,0.7920169480998775,0.7920792079207921,0.7900857342738771,0.3441126346588135
AdaBoost_DT_Best,AdaBoost DT,4,0.8335170893054025,0.8401206201968469,0.8335170893054025,0.832420995148243,0.7128712871287128,0.7182693059221888,0.7128712871287128,0.7123268778490751,0.33905792236328125
AdaBoost_DT_Best,AdaBoost DT,5,0.8291069459757442,0.8382659749806716,0.8291069459757442,0.8266686591245223,0.6732673267326733,0.680968096809681,0.6732673267326733,0.6700685453160701,0.3490488529205322
AdaBoost_DT_Best,AdaBoost DT,6,0.834619625137817,0.8413644844207029,0.834619625137817,0.8327594739020775,0.7326732673267327,0.7639296663941105,0.7326732673267327,0.735225814940298,0.38857078552246094
AdaBoost_DT_Best,AdaBoost DT,7,0.8213891951488423,0.8306193938918,0.8213891951488423,0.8195065264698054,0.7821782178217822,0.7856278840553739,0.7821782178217822,0.7786569413243845,0.3608241081237793
AdaBoost_DT_Best,AdaBoost DT,8,0.8291069459757442,0.8369660223417708,0.8291069459757442,0.8270839493788169,0.7128712871287128,0.7168422724625404,0.7128712871287128,0.7126106161561048,0.34044837951660156
AdaBoost_DT_Best,AdaBoost DT,9,0.829295154185022,0.836286830316672,0.829295154185022,0.827989495237057,0.73,0.7517293233082707,0.73,0.7234665334665334,0.3416097164154053
AdaBoost_DT_Best,AdaBoost DT,10,0.8270925110132159,0.8359286822336564,0.8270925110132159,0.825478860665404,0.73,0.7413314082307216,0.73,0.7263272007557015,0.3495955467224121
