Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
ANN_PCA_n_components-4,ANN,0.7972896803617483,0.8054258380754108,0.7972896803617483,0.7963330367534102,0.7241881188118813,0.7338538772364024,0.7241881188118813,0.7218759362670659,(tidak tersedia),24.24,Algoritma,1
CLab_R/Gratio,ANN,0.7967373196236808,0.8049338736293263,0.7967373196236808,0.7962239053566809,0.7241881188118812,0.7366533224140663,0.7241881188118812,0.7225758629239939,"R/Gratio, cL, ca, cb",29.58,Gabungan Fitur,4
ANN_PCA_n_components-14,ANN,0.8033511989470055,0.810939556902631,0.8033511989470055,0.8025092326595751,0.7241881188118812,0.7351439907512514,0.7241881188118812,0.7214673933138892,(tidak tersedia),27.68,Algoritma,1
RGB_rgb_HSV,ANN,0.798170130507215,0.8083785115447981,0.798170130507215,0.797872126738024,0.7241782178217822,0.7337817821314978,0.7241782178217822,0.722514422573731,"R, G, B, r, g, b, H, S, V",22.32,Gabungan Fitur,9
RGB_rgb_R/Gratio,ANN,0.790453958200778,0.8024425332813641,0.790453958200778,0.7900888147327455,0.7231980198019802,0.7384302900176317,0.7231980198019802,0.7218806721158887,"R, G, B, r, g, b, R/Gratio",23.16,Gabungan Fitur,7
rgb,ANN,0.7911152368509246,0.8030818147602217,0.7911152368509246,0.7907463279466272,0.7231881188118812,0.7373139996495224,0.7231881188118812,0.72238280403016,"r, g, b",29.59,Gabungan Fitur,3
RGB,ANN,0.7911152368509246,0.8030818147602217,0.7911152368509246,0.7907463279466272,0.7231881188118812,0.7373139996495224,0.7231881188118812,0.72238280403016,"R, G, B",30.2,Gabungan Fitur,3
rgb_R/Gratio_G/Bratio,ANN,0.7945326122328049,0.804810487574092,0.7945326122328049,0.7940685248362479,0.7222376237623763,0.734501055022687,0.7222376237623763,0.720042014519807,"r, g, b, R/Gratio, G/Bratio",25.8,Gabungan Fitur,5
RGB_R/Gratio_G/Bratio,ANN,0.7945326122328049,0.804810487574092,0.7945326122328049,0.7940685248362479,0.7222376237623763,0.734501055022687,0.7222376237623763,0.720042014519807,"R, G, B, R/Gratio, G/Bratio",25.93,Gabungan Fitur,5
RGB_rgb_R/Gratio_G/Bratio,ANN,0.7927675835037326,0.8041314364849189,0.7927675835037326,0.7922841452367272,0.7222376237623762,0.7329223438597852,0.7222376237623762,0.7199634960519873,"R, G, B, r, g, b, R/Gratio, G/Bratio",21.46,Gabungan Fitur,8
ANN_PCA_n_components-11,ANN,0.8066572279237842,0.818898316307086,0.8066572279237842,0.8062920339812069,0.7222277227722772,0.7364153187777799,0.7222277227722772,0.7208860116595266,(tidak tersedia),29.97,Algoritma,1
RGB_rgb,ANN,0.78758627221464,0.79950868735277,0.78758627221464,0.7872442299096934,0.7222178217821782,0.7357041787599227,0.7222178217821782,0.7204984374469648,"R, G, B, r, g, b",23.5,Gabungan Fitur,6
ANN_PCA_n_components-12,ANN,0.801255773742162,0.8111609460272415,0.801255773742162,0.8005847774025077,0.7212475247524752,0.7322307920864903,0.7212475247524752,0.7190671388196973,(tidak tersedia),28.17,Algoritma,1
ANN_MUTUAL_INFO_n_features-13,ANN,0.7973981125752225,0.8083608748180542,0.7973981125752225,0.7972481871582064,0.7212376237623762,0.7358275749456996,0.7212376237623762,0.7192865813046542,"R, G, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",22.98,Algoritma,13
