Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
BAGGING SVM_MUTUAL_INFO_n_features-3,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"R/Gratio, G/Bratio, cL",14.37
BAGGING SVM_MUTUAL_INFO_n_features-4,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"R/Gratio, G/Bratio, S, cL",2.3
BAGGING SVM_MUTUAL_INFO_n_features-5,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"R/Gratio, G/Bratio, H, S, cL",1.99
BAGGING SVM_MUTUAL_INFO_n_features-6,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"R/Gratio, G/Bratio, H, S, cL, cb",2.27
BAGGING SVM_MUTUAL_INFO_n_features-7,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"R/Gratio, G/Bratio, H, S, cL, ca, cb",2.24
BAGGING SVM_MUTUAL_INFO_n_features-8,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"g, R/Gratio, G/Bratio, H, S, cL, ca, cb",2.19
BAGGING SVM_MUTUAL_INFO_n_features-9,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"G, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",1.98
BAGGING SVM_MUTUAL_INFO_n_features-10,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"G, r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",2.19
BAGGING SVM_MUTUAL_INFO_n_features-11,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",1.9
BAGGING SVM_MUTUAL_INFO_n_features-12,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",2.03
BAGGING SVM_MUTUAL_INFO_n_features-13,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"R, G, B, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",1.9
BAGGING SVM_MUTUAL_INFO_n_features-14,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",2.29
BAGGING SVM_PCA_n_components-3,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),1.75
BAGGING SVM_PCA_n_components-4,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),2.07
BAGGING SVM_PCA_n_components-5,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),2.01
BAGGING SVM_PCA_n_components-6,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),2.01
BAGGING SVM_PCA_n_components-7,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),1.93
BAGGING SVM_PCA_n_components-8,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),1.96
BAGGING SVM_PCA_n_components-9,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),1.91
BAGGING SVM_PCA_n_components-10,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),2.03
BAGGING SVM_PCA_n_components-11,Bagging SVM,0.8283730158730159,0.8341469078459742,0.8283730158730159,0.8268207826017133,0.6789838337182448,0.696002260371397,0.6789838337182448,0.6725974692209162,(tidak tersedia),1.97
