Feature Group,Model,Fold,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Duration (s)
ANN_Best,ANN,Average,0.8272703981271462,0.8333914565499434,0.8272703981271462,0.8260055312597121,0.7242079207920792,0.7340106446981387,0.7242079207920792,0.7222585887982048,1.2856818914413453
ANN_Best,ANN,1,0.8235942668136714,0.830884362339061,0.8235942668136714,0.8222170385582982,0.7623762376237624,0.7721918074160358,0.7623762376237624,0.758957347347638,1.2678234577178955
ANN_Best,ANN,2,0.8280044101433297,0.8320676250501061,0.8280044101433297,0.8273856548656132,0.693069306930693,0.6925567556755676,0.693069306930693,0.6894723535281025,1.2948205471038818
ANN_Best,ANN,3,0.8202866593164277,0.8258988969167324,0.8202866593164277,0.8192099376198761,0.7920792079207921,0.7911850866784291,0.7920792079207921,0.790856348792774,1.3376226425170898
ANN_Best,ANN,4,0.8335170893054025,0.8381913545282201,0.8335170893054025,0.8323768756001163,0.6831683168316832,0.6884032973433091,0.6831683168316832,0.6789673835286024,1.3410906791687012
ANN_Best,ANN,5,0.8313120176405733,0.8366831007112652,0.8313120176405733,0.8297252975437354,0.693069306930693,0.7133711197206677,0.693069306930693,0.6927549738779547,1.200829267501831
ANN_Best,ANN,6,0.834619625137817,0.8411058577497538,0.834619625137817,0.8327544106819856,0.7227722772277227,0.7515468491650192,0.7227722772277227,0.7254020418653162,1.2564771175384521
ANN_Best,ANN,7,0.814773980154355,0.8217305787145894,0.814773980154355,0.8135542322476221,0.7821782178217822,0.7818802713604693,0.7821782178217822,0.7788059186074238,1.3714733123779297
ANN_Best,ANN,8,0.8291069459757442,0.8353236122470233,0.8291069459757442,0.8280822242180463,0.6633663366336634,0.6824081938158563,0.6633663366336634,0.6661576871972911,1.2202308177947998
ANN_Best,ANN,9,0.8281938325991189,0.836603053976707,0.8281938325991189,0.826838786120281,0.72,0.7329150326797386,0.72,0.7134804490902051,1.2657828330993652
ANN_Best,ANN,10,0.829295154185022,0.8354261232659768,0.829295154185022,0.8279108551415477,0.73,0.7336480331262939,0.73,0.7277313841467403,1.3006682395935059
