Feature Group,Model,Fold,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Duration (s)
AdaBoost_SVM_Best,AdaBoost SVM,Average,0.8240735299117485,0.8341444040683177,0.8240735299117485,0.8227163799611649,0.7261980198019801,0.739901604385383,0.7261980198019801,0.7234536112098026,21.36718945503235
AdaBoost_SVM_Best,AdaBoost SVM,1,0.8191841234840133,0.8294636395907812,0.8191841234840133,0.8176482878074999,0.7524752475247525,0.75644623285858,0.7524752475247525,0.7508597984623145,21.760968685150146
AdaBoost_SVM_Best,AdaBoost SVM,2,0.824696802646086,0.8336065294448681,0.824696802646086,0.8239511557717414,0.7524752475247525,0.7522329155992523,0.7524752475247525,0.747572912672593,21.90673518180847
AdaBoost_SVM_Best,AdaBoost SVM,3,0.8213891951488423,0.8318341269778255,0.8213891951488423,0.8202909345055469,0.7722772277227723,0.7701920192019203,0.7722772277227723,0.7705151317383672,22.173228979110718
AdaBoost_SVM_Best,AdaBoost SVM,4,0.824696802646086,0.8346540949985126,0.824696802646086,0.8239674371363607,0.7029702970297029,0.7152009318578917,0.7029702970297029,0.7036410092622165,21.643331289291382
AdaBoost_SVM_Best,AdaBoost SVM,5,0.8257993384785005,0.840105314668211,0.8257993384785005,0.8249590644407686,0.6831683168316832,0.7117483697337336,0.6831683168316832,0.6835737627816836,21.3363094329834
AdaBoost_SVM_Best,AdaBoost SVM,6,0.8291069459757442,0.8393735464546879,0.8291069459757442,0.8265630622874652,0.7029702970297029,0.7402013199993154,0.7029702970297029,0.704099461509433,20.734294652938843
AdaBoost_SVM_Best,AdaBoost SVM,7,0.8158765159867696,0.8252671423400404,0.8158765159867696,0.8145657272523077,0.7524752475247525,0.7594782341560089,0.7524752475247525,0.7501651455821428,21.292723655700684
AdaBoost_SVM_Best,AdaBoost SVM,8,0.8269018743109151,0.8338894584531251,0.8269018743109151,0.8253694706134893,0.6831683168316832,0.6931228760957787,0.6831683168316832,0.6815972176569248,20.977064609527588
AdaBoost_SVM_Best,AdaBoost SVM,9,0.8259911894273128,0.836283722641685,0.8259911894273128,0.8243987284916854,0.69,0.7200462543991957,0.69,0.6798267746742803,20.85509419441223
AdaBoost_SVM_Best,AdaBoost SVM,10,0.8270925110132159,0.83696646511344,0.8270925110132159,0.8254499313047825,0.77,0.7803468899521531,0.77,0.7626848977580685,20.992143869400024
