Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features
RGB_rgb_CLab_R/Gratio_G/Bratio,ANN,0.775695158342614,0.7864542674513728,0.775695158342614,0.7759581968913256,0.7265756704980844,0.7360810840879952,0.7265756704980844,0.7252871651980194,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb"
RGB_R/Gratio,ANN,0.7818640714088543,0.7948884320956257,0.7818640714088543,0.7818210370625319,0.7251628352490421,0.7404969383822332,0.7251628352490421,0.7231635515225562,"R, G, B, R/Gratio"
rgb_R/Gratio,ANN,0.7818640714088543,0.7948884320956257,0.7818640714088543,0.7818210370625319,0.7251628352490421,0.7404969383822332,0.7251628352490421,0.7231635515225562,"r, g, b, R/Gratio"
RGB_R/Gratio_G/Bratio,ANN,0.7797051838525753,0.7900700561630856,0.7797051838525753,0.7791796416288593,0.7203208812260536,0.733352494340543,0.7203208812260536,0.7186495872953447,"R, G, B, R/Gratio, G/Bratio"
rgb_R/Gratio_G/Bratio,ANN,0.7797051838525753,0.7900700561630856,0.7797051838525753,0.7791796416288593,0.7203208812260536,0.733352494340543,0.7203208812260536,0.7186495872953447,"r, g, b, R/Gratio, G/Bratio"
RGB_HSV_CLab_R/Gratio_G/Bratio,ANN,0.7841006548825875,0.7974851581881702,0.7841006548825875,0.784365779628684,0.7196264367816092,0.7342605041043369,0.7196264367816092,0.7193608710625344,"R, G, B, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
rgb_HSV_CLab_R/Gratio_G/Bratio,ANN,0.7841006548825875,0.7974851581881702,0.7841006548825875,0.784365779628684,0.7196264367816092,0.7342605041043369,0.7196264367816092,0.7193608710625344,"r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
RGB_HSV_CLab,ANN,0.7794740593201785,0.7892550464368293,0.7794740593201785,0.7792171450160917,0.7189128352490421,0.7302006428780738,0.7189128352490421,0.7174484744627878,"R, G, B, H, S, V, cL, ca, cb"
rgb_HSV_CLab,ANN,0.7794740593201785,0.7892550464368293,0.7794740593201785,0.7792171450160917,0.7189128352490421,0.7302006428780738,0.7189128352490421,0.7174484744627878,"r, g, b, H, S, V, cL, ca, cb"
RGB_rgb_HSV_R/Gratio_G/Bratio,ANN,0.7796281423417764,0.790050051268433,0.7796281423417764,0.779755550070082,0.7175287356321839,0.7284927163958926,0.7175287356321839,0.7168089700228066,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V"
RGB_HSV,ANN,0.7780094972253158,0.7901789635348089,0.7780094972253158,0.7776928328553688,0.7161637931034484,0.7311008811726067,0.7161637931034484,0.714606412199925,"R, G, B, H, S, V"
rgb_HSV,ANN,0.7780094972253158,0.7901789635348089,0.7780094972253158,0.7776928328553688,0.7161637931034484,0.7311008811726067,0.7161637931034484,0.714606412199925,"r, g, b, H, S, V"
RGB_HSV_R/Gratio,ANN,0.7824046707977574,0.7931816053737404,0.7824046707977574,0.7817836937897364,0.716154214559387,0.7272233431555427,0.716154214559387,0.7144687075669283,"R, G, B, R/Gratio, H, S, V"
rgb_HSV_R/Gratio,ANN,0.7824046707977574,0.7931816053737404,0.7824046707977574,0.7817836937897364,0.716154214559387,0.7272233431555427,0.716154214559387,0.7144687075669283,"r, g, b, R/Gratio, H, S, V"
RGB_rgb_G/Bratio,ANN,0.7767752267816518,0.7860458450412493,0.7767752267816518,0.7766048668434224,0.7154406130268199,0.7252978208950268,0.7154406130268199,0.7142871560558872,"R, G, B, r, g, b, G/Bratio"
CLab_R/Gratio,ANN,0.7874166523887034,0.8013835046274387,0.7874166523887034,0.7873790874868458,0.7147701149425287,0.729822289777515,0.7147701149425287,0.7132480893076413,"R/Gratio, cL, ca, cb"
RGB_rgb_R/Gratio_G/Bratio,ANN,0.7784718652731375,0.7882327642999607,0.7784718652731375,0.778253190215159,0.7147605363984675,0.7283638794935504,0.7147605363984675,0.7143134146799313,"R, G, B, r, g, b, R/Gratio, G/Bratio"
RGB_CLab_R/Gratio,ANN,0.7808620558363556,0.7886767672890646,0.7808620558363556,0.7803271563623901,0.7140852490421457,0.7234513292415052,0.7140852490421457,0.712879502346321,"R, G, B, R/Gratio, cL, ca, cb"
rgb_CLab_R/Gratio,ANN,0.7808620558363556,0.7886767672890646,0.7808620558363556,0.7803271563623901,0.7140852490421457,0.7234513292415052,0.7140852490421457,0.712879502346321,"r, g, b, R/Gratio, cL, ca, cb"
CLab_R/Gratio_G/Bratio,ANN,0.7805540087761881,0.7879783344602854,0.7805540087761881,0.7799774310719656,0.7140756704980842,0.7252540032018069,0.7140756704980842,0.7128670752059559,"R/Gratio, G/Bratio, cL, ca, cb"
RGB_rgb_HSV,ANN,0.7794741188116927,0.7901301282982657,0.7794741188116927,0.7794694331656814,0.7140708812260537,0.727508148392982,0.7140708812260537,0.7132944199095551,"R, G, B, r, g, b, H, S, V"
HSV_CLab_R/Gratio,ANN,0.7830203484774932,0.796242745976327,0.7830203484774932,0.7829287649017307,0.7133860153256706,0.7289232636076152,0.7133860153256706,0.7123573941920472,"R/Gratio, H, S, V, cL, ca, cb"
RGB_G/Bratio,ANN,0.7770841067230172,0.7852462412675816,0.7770841067230172,0.7765254461294206,0.7133812260536398,0.7233376504306472,0.7133812260536398,0.7121518723082688,"R, G, B, G/Bratio"
rgb_G/Bratio,ANN,0.7770841067230172,0.7852462412675816,0.7770841067230172,0.7765254461294206,0.7133812260536398,0.7233376504306472,0.7133812260536398,0.7121518723082688,"r, g, b, G/Bratio"
Full,ANN,0.785410895989796,0.796946835968502,0.785410895989796,0.7851553020007457,0.712705938697318,0.7244541262051656,0.712705938697318,0.7107954289657027,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
RGB_HSV_G/Bratio,ANN,0.7761586567292041,0.7837410837982377,0.7761586567292041,0.77574389247391,0.712691570881226,0.7246144613647308,0.712691570881226,0.7115296966382452,"R, G, B, G/Bratio, H, S, V"
rgb_HSV_G/Bratio,ANN,0.7761586567292041,0.7837410837982377,0.7761586567292041,0.77574389247391,0.712691570881226,0.7246144613647308,0.712691570881226,0.7115296966382452,"r, g, b, G/Bratio, H, S, V"
CLab_G/Bratio,ANN,0.7777781942183768,0.7852112509016667,0.7777781942183768,0.7777890799524182,0.712691570881226,0.7225747339134012,0.712691570881226,0.7117283707433517,"G/Bratio, cL, ca, cb"
RGB_rgb,ANN,0.7760816152184052,0.7886318041561959,0.7760816152184052,0.7759016223876195,0.7126867816091954,0.7256217208410176,0.7126867816091954,0.7116400147419482,"R, G, B, r, g, b"
RGB_CLab_G/Bratio,ANN,0.7733830801374493,0.7836466620831161,0.7733830801374493,0.7730539935366835,0.712677203065134,0.72475606596126,0.712677203065134,0.7109665709193014,"R, G, B, G/Bratio, cL, ca, cb"
rgb_CLab_G/Bratio,ANN,0.7733830801374493,0.7836466620831161,0.7733830801374493,0.7730539935366835,0.712677203065134,0.72475606596126,0.712677203065134,0.7109665709193014,"r, g, b, G/Bratio, cL, ca, cb"
RGB_rgb_R/Gratio,ANN,0.776852387275479,0.7876873721842442,0.776852387275479,0.7766608519307566,0.7120019157088123,0.7239986634145822,0.7120019157088123,0.7105600764529475,"R, G, B, r, g, b, R/Gratio"
RGB_HSV_CLab_G/Bratio,ANN,0.7787029898055341,0.792153228170781,0.7787029898055341,0.7789217498319987,0.7119971264367815,0.7262102915295471,0.7119971264367815,0.7115536157551767,"R, G, B, G/Bratio, H, S, V, cL, ca, cb"
rgb_HSV_CLab_G/Bratio,ANN,0.7787029898055341,0.792153228170781,0.7787029898055341,0.7789217498319987,0.7119971264367815,0.7262102915295471,0.7119971264367815,0.7115536157551767,"r, g, b, G/Bratio, H, S, V, cL, ca, cb"
RGB_CLab,ANN,0.7716865606289918,0.7850617795137586,0.7716865606289918,0.7715730316086346,0.711992337164751,0.7217483120516992,0.711992337164751,0.7100612487605444,"R, G, B, cL, ca, cb"
rgb_CLab,ANN,0.7716865606289918,0.7850617795137586,0.7716865606289918,0.7715730316086346,0.711992337164751,0.7217483120516992,0.711992337164751,0.7100612487605444,"r, g, b, cL, ca, cb"
RGB_rgb_CLab_R/Gratio,ANN,0.7777006767754647,0.7860966425230671,0.7777006767754647,0.7776729138989718,0.7119827586206897,0.7208789941901977,0.7119827586206897,0.7110416464442881,"R, G, B, r, g, b, R/Gratio, cL, ca, cb"
RGB_CLab_R/Gratio_G/Bratio,ANN,0.7843316009404419,0.7946029754561169,0.7843316009404419,0.7840452156343292,0.7113026819923371,0.7262741039465965,0.7113026819923371,0.7101485630260809,"R, G, B, R/Gratio, G/Bratio, cL, ca, cb"
rgb_CLab_R/Gratio_G/Bratio,ANN,0.7843316009404419,0.7946029754561169,0.7843316009404419,0.7840452156343292,0.7113026819923371,0.7262741039465965,0.7113026819923371,0.7101485630260809,"r, g, b, R/Gratio, G/Bratio, cL, ca, cb"
RGB_rgb_CLab,ANN,0.7740766917006957,0.7837678359413309,0.7740766917006957,0.7737130945619837,0.7106082375478927,0.7222933017154718,0.7106082375478927,0.7099119037894646,"R, G, B, r, g, b, cL, ca, cb"
RGB_HSV_R/Gratio_G/Bratio,ANN,0.7838683405199082,0.7913671928680339,0.7838683405199082,0.7832544804728288,0.7099185823754789,0.719399388847399,0.7099185823754789,0.7072835486121655,"R, G, B, R/Gratio, G/Bratio, H, S, V"
rgb_HSV_R/Gratio_G/Bratio,ANN,0.7838683405199082,0.7913671928680339,0.7838683405199082,0.7832544804728288,0.7099185823754789,0.719399388847399,0.7099185823754789,0.7072835486121655,"r, g, b, R/Gratio, G/Bratio, H, S, V"
HSV,ANN,0.7780856463634027,0.79029107335271,0.7780856463634027,0.7778014555963565,0.7099185823754788,0.7195447290750888,0.7099185823754788,0.707512383529087,"H, S, V"
HSV_R/Gratio_G/Bratio,ANN,0.782789878351752,0.7886800708650725,0.782789878351752,0.7819226835219898,0.7099090038314178,0.7184078012699974,0.7099090038314178,0.7079981266569334,"R/Gratio, G/Bratio, H, S, V"
RGB_HSV_CLab_R/Gratio,ANN,0.781016912247637,0.7889401038431973,0.781016912247637,0.7809593922205579,0.7098946360153257,0.7183739382235053,0.7098946360153257,0.7092117955850361,"R, G, B, R/Gratio, H, S, V, cL, ca, cb"
rgb_HSV_CLab_R/Gratio,ANN,0.781016912247637,0.7889401038431973,0.781016912247637,0.7809593922205579,0.7098946360153257,0.7183739382235053,0.7098946360153257,0.7092117955850361,"r, g, b, R/Gratio, H, S, V, cL, ca, cb"
RGB,ANN,0.7710698715935159,0.7830452041376319,0.7710698715935159,0.770969137659971,0.7092145593869732,0.7221495111778182,0.7092145593869732,0.7086523945366096,"R, G, B"
rgb,ANN,0.7710698715935159,0.7830452041376319,0.7710698715935159,0.770969137659971,0.7092145593869732,0.7221495111778182,0.7092145593869732,0.7086523945366096,"r, g, b"
HSV_CLab,ANN,0.7787797933502765,0.7887896965180046,0.7787797933502765,0.7787919225250423,0.7092145593869732,0.7210495814442492,0.7092145593869732,0.7077564323736213,"H, S, V, cL, ca, cb"
RGB_rgb_HSV_R/Gratio,ANN,0.7758507881435792,0.7870606687456926,0.7758507881435792,0.7761631985172193,0.7092097701149426,0.7215687541457698,0.7092097701149426,0.7089335412222303,"R, G, B, r, g, b, R/Gratio, H, S, V"
CLab,ANN,0.7716856682562799,0.7835093585557744,0.7716856682562799,0.771167680888646,0.7085249042145594,0.722919131375274,0.7085249042145594,0.7073756637953386,"cL, ca, cb"
HSV_CLab_R/Gratio_G/Bratio,ANN,0.7832520679250312,0.7950968373137229,0.7832520679250312,0.7831346617097005,0.7071408045977012,0.7195543955345154,0.7071408045977012,0.7050928090881966,"R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
RGB_rgb_HSV_G/Bratio,ANN,0.781786851423513,0.7921713892000642,0.781786851423513,0.7819305911356395,0.7064367816091954,0.7204253971029677,0.7064367816091954,0.7054500046958035,"R, G, B, r, g, b, G/Bratio, H, S, V"
RGB_rgb_HSV_CLab_R/Gratio,ANN,0.778703822686732,0.789774052141459,0.778703822686732,0.7786088583504958,0.7064319923371647,0.7214014213957229,0.7064319923371647,0.70526783290314,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb"
RGB_rgb_HSV_CLab,ANN,0.7821722969435639,0.7930480218036757,0.7821722969435639,0.7820814039311139,0.7057567049808429,0.7188371539997215,0.7057567049808429,0.7046662266974615,"R, G, B, r, g, b, H, S, V, cL, ca, cb"
RGB_rgb_HSV_CLab_G/Bratio,ANN,0.7738456861513274,0.7844513805095488,0.7738456861513274,0.7740430668468261,0.705742337164751,0.7191804612177698,0.705742337164751,0.7051072574278324,"R, G, B, r, g, b, G/Bratio, H, S, V, cL, ca, cb"
HSV_R/Gratio,ANN,0.7834070433193411,0.7947835332673048,0.7834070433193411,0.7833726904159197,0.7050478927203065,0.7170915160147472,0.7050478927203065,0.7041125844782604,"R/Gratio, H, S, V"
RGB_rgb_CLab_G/Bratio,ANN,0.7739998881559533,0.7826904749521482,0.7739998881559533,0.7738678453345582,0.7050383141762453,0.7147779387888642,0.7050383141762453,0.7040209445415515,"R, G, B, r, g, b, G/Bratio, cL, ca, cb"
HSV_CLab_G/Bratio,ANN,0.7795515172715763,0.7894334192559567,0.7795515172715763,0.7792972775106062,0.7022701149425288,0.7139548779414812,0.7022701149425288,0.7017964169905945,"G/Bratio, H, S, V, cL, ca, cb"
HSV_G/Bratio,ANN,0.780012992946686,0.7882260372971075,0.780012992946686,0.7801896265765365,0.700890804597701,0.7126739828844266,0.700890804597701,0.7002694084757952,"G/Bratio, H, S, V"
R/Gratio_G/Bratio,ANN,0.6082197045413442,0.6158214465478979,0.6082197045413442,0.6081932334781107,0.5579454022988506,0.5689992205536224,0.5579454022988506,0.5564916120918404,"R/Gratio, G/Bratio"
R/Gratio,ANN,0.516308765717658,0.5263183800514785,0.516308765717658,0.5186697932516052,0.5030842911877395,0.5131068780039388,0.5030842911877395,0.5042000368565177,R/Gratio
G/Bratio,ANN,0.5057439056892925,0.5047422429457924,0.5057439056892925,0.5015518392916084,0.4961733716475096,0.49519093853518525,0.4961733716475096,0.4890103772701164,G/Bratio
