Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features
RGB_rgb_HSV_R/Gratio_G/Bratio,Bagging SVM,0.6304272918510904,0.670144428676952,0.6304272918510904,0.6390986767643665,0.5933333333333334,0.6310116761965318,0.5933333333333334,0.6008370983117024,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V"
RGB_rgb_HSV_CLab_G/Bratio,Bagging SVM,0.6293484727338492,0.6668499738306299,0.6293484727338492,0.6386858694982462,0.5919444444444444,0.6355695976156176,0.5919444444444444,0.6016046740191594,"R, G, B, r, g, b, G/Bratio, H, S, V, cL, ca, cb"
RGB_HSV_CLab_R/Gratio,Bagging SVM,0.6284230822315505,0.6646693887250394,0.6284230822315505,0.6367656646508856,0.5919348659003831,0.6294442267096271,0.5919348659003831,0.60046859151489,"R, G, B, R/Gratio, H, S, V, cL, ca, cb"
rgb_HSV_CLab_R/Gratio,Bagging SVM,0.6284230822315505,0.6646693887250394,0.6284230822315505,0.6367656646508856,0.5919348659003831,0.6294442267096271,0.5919348659003831,0.60046859151489,"r, g, b, R/Gratio, H, S, V, cL, ca, cb"
RGB_HSV_R/Gratio_G/Bratio,Bagging SVM,0.6288850338387733,0.6655617485384433,0.6288850338387733,0.6379275235364705,0.5912452107279693,0.630369012915528,0.5912452107279693,0.6008474997565327,"R, G, B, R/Gratio, G/Bratio, H, S, V"
rgb_HSV_R/Gratio_G/Bratio,Bagging SVM,0.6288850338387733,0.6655617485384433,0.6288850338387733,0.6379275235364705,0.5912452107279693,0.630369012915528,0.5912452107279693,0.6008474997565327,"r, g, b, R/Gratio, G/Bratio, H, S, V"
RGB_HSV_CLab_R/Gratio_G/Bratio,Bagging SVM,0.6291163963372265,0.6655129842603928,0.6291163963372265,0.6386002803082332,0.5905603448275862,0.6316933898384626,0.5905603448275862,0.6010086615673543,"R, G, B, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
rgb_HSV_CLab_R/Gratio_G/Bratio,Bagging SVM,0.6291163963372265,0.6655129842603928,0.6291163963372265,0.6386002803082332,0.5905603448275862,0.6316933898384626,0.5905603448275862,0.6010086615673543,"r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
RGB_G/Bratio,Bagging SVM,0.6216364092825799,0.6596043678918638,0.6216364092825799,0.6306843736917946,0.58919061302682,0.6310462998893892,0.58919061302682,0.5983855395751443,"R, G, B, G/Bratio"
rgb_G/Bratio,Bagging SVM,0.6216364092825799,0.6596043678918638,0.6216364092825799,0.6306843736917946,0.58919061302682,0.6310462998893892,0.58919061302682,0.5983855395751443,"r, g, b, G/Bratio"
RGB_HSV_R/Gratio,Bagging SVM,0.6227935787239307,0.6597329483549368,0.6227935787239307,0.6303072476580249,0.5891570881226054,0.6257277515375854,0.5891570881226054,0.5963527675895092,"R, G, B, R/Gratio, H, S, V"
rgb_HSV_R/Gratio,Bagging SVM,0.6227935787239307,0.6597329483549368,0.6227935787239307,0.6303072476580249,0.5891570881226054,0.6257277515375854,0.5891570881226054,0.5963527675895092,"r, g, b, R/Gratio, H, S, V"
RGB_HSV_CLab,Bagging SVM,0.6271892877199996,0.6647836028135814,0.6271892877199996,0.6365070241362296,0.5884770114942528,0.6283908640840483,0.5884770114942528,0.5970435556251391,"R, G, B, H, S, V, cL, ca, cb"
rgb_HSV_CLab,Bagging SVM,0.6271892877199996,0.6647836028135814,0.6271892877199996,0.6365070241362296,0.5884770114942528,0.6283908640840483,0.5884770114942528,0.5970435556251391,"r, g, b, H, S, V, cL, ca, cb"
RGB_rgb_HSV,Bagging SVM,0.6207120896275355,0.6579831425790623,0.6207120896275355,0.6280201897164408,0.5884674329501915,0.628545345561735,0.5884674329501915,0.5955704969448572,"R, G, B, r, g, b, H, S, V"
RGB_rgb_HSV_CLab_R/Gratio,Bagging SVM,0.6251070252339206,0.664563945829882,0.6251070252339206,0.6333432317357184,0.5884674329501915,0.6278790252527034,0.5884674329501915,0.5965294380370392,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb"
