Feature Group,Model,Fold,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Duration (s)
Bagging_SVM_Best,Bagging SVM,Average,0.8289239590264657,0.8362886248191689,0.8289239590264657,0.8274866040392638,0.7172475247524753,0.7292141386078477,0.7172475247524753,0.7136168771730731,2.9612433671951295
Bagging_SVM_Best,Bagging SVM,1,0.8224917309812569,0.8298467766087019,0.8224917309812569,0.821258638486851,0.7227722772277227,0.7287766732138801,0.7227722772277227,0.7202471736535356,5.2573301792144775
Bagging_SVM_Best,Bagging SVM,2,0.8302094818081588,0.8369408562780482,0.8302094818081588,0.8289671475348136,0.7227722772277227,0.7389293108877452,0.7227722772277227,0.7163146179979074,2.1342599391937256
Bagging_SVM_Best,Bagging SVM,3,0.8257993384785005,0.8329370608079943,0.8257993384785005,0.8244642256389082,0.801980198019802,0.8051517789141551,0.801980198019802,0.8006369176903017,3.005204916000366
Bagging_SVM_Best,Bagging SVM,4,0.834619625137817,0.8446501706667648,0.834619625137817,0.8335948311894661,0.6732673267326733,0.6852344898355381,0.6732673267326733,0.668365323634266,2.9150643348693848
Bagging_SVM_Best,Bagging SVM,5,0.8313120176405733,0.8413456833202412,0.8313120176405733,0.8299356668677346,0.7029702970297029,0.7217865150127324,0.7029702970297029,0.7020464441819413,2.9087767601013184
Bagging_SVM_Best,Bagging SVM,6,0.8324145534729879,0.8382505831366466,0.8324145534729879,0.8305276220693683,0.7029702970297029,0.721000521104742,0.7029702970297029,0.7026220013305678,2.759361743927002
Bagging_SVM_Best,Bagging SVM,7,0.8224917309812569,0.8283318909461527,0.8224917309812569,0.8210301954106718,0.7524752475247525,0.764072979878633,0.7524752475247525,0.7503750375037503,2.7646636962890625
Bagging_SVM_Best,Bagging SVM,8,0.8302094818081588,0.8360177598757417,0.8302094818081588,0.8284040729264036,0.6732673267326733,0.6762231729586051,0.6732673267326733,0.6697989126643756,2.6256937980651855
Bagging_SVM_Best,Bagging SVM,9,0.8303964757709251,0.8380120130990171,0.8303964757709251,0.8289816242841389,0.69,0.7145098039215686,0.69,0.68174638487208,2.6668944358825684
Bagging_SVM_Best,Bagging SVM,10,0.829295154185022,0.8365534534523817,0.829295154185022,0.8277020159842825,0.73,0.736456140350877,0.73,0.7240159582020047,2.575183868408203
