Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
ADABOOST DT_SFT_threshold-0.001,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",0.17
ADABOOST DT_SFT_threshold-0.005,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, B, r, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",0.17
ADABOOST DT_SFT_threshold-0.01,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, B, r, R/Gratio, G/Bratio, H, S, cL, ca, cb",0.17
ADABOOST DT_SFT_threshold-0.02,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, B, R/Gratio, H, S, cL, ca, cb",0.18
ADABOOST DT_SFT_threshold-0.05,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R/Gratio, H, cL, ca, cb",0.17
ADABOOST DT_MUTUAL_INFO_n_features-3,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R/Gratio, G/Bratio, cL",0.17
ADABOOST DT_MUTUAL_INFO_n_features-4,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R/Gratio, G/Bratio, H, cL",0.17
ADABOOST DT_MUTUAL_INFO_n_features-5,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R/Gratio, G/Bratio, H, cL, cb",0.18
ADABOOST DT_MUTUAL_INFO_n_features-6,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R/Gratio, G/Bratio, H, S, cL, cb",0.17
ADABOOST DT_MUTUAL_INFO_n_features-7,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R/Gratio, G/Bratio, H, S, cL, ca, cb",0.17
ADABOOST DT_MUTUAL_INFO_n_features-8,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"r, R/Gratio, G/Bratio, H, S, cL, ca, cb",0.17
ADABOOST DT_MUTUAL_INFO_n_features-9,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, R/Gratio, G/Bratio, H, S, cL, ca, cb",0.17
ADABOOST DT_MUTUAL_INFO_n_features-10,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"G, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",0.17
ADABOOST DT_MUTUAL_INFO_n_features-11,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",0.17
ADABOOST DT_MUTUAL_INFO_n_features-12,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",0.17
