Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
BAGGING SVM_MUTUAL_INFO_n_features-3,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, cL",22.28
BAGGING SVM_MUTUAL_INFO_n_features-4,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, H, cL",12.67
BAGGING SVM_MUTUAL_INFO_n_features-5,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, H, S, cL",14.19
BAGGING SVM_MUTUAL_INFO_n_features-6,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, H, S, cL, ca",13.6
BAGGING SVM_MUTUAL_INFO_n_features-7,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, H, S, cL, ca, cb",13.67
BAGGING SVM_MUTUAL_INFO_n_features-8,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"G, R/Gratio, G/Bratio, H, S, cL, ca, cb",13.39
BAGGING SVM_MUTUAL_INFO_n_features-9,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.54
BAGGING SVM_MUTUAL_INFO_n_features-10,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"G, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.44
BAGGING SVM_MUTUAL_INFO_n_features-11,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.56
BAGGING SVM_MUTUAL_INFO_n_features-12,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.41
