Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
RGB_R/Gratio_G/Bratio,Bagging SVM,0.6342585082253058,0.6662183679749876,0.6342585082253058,0.6425401779903195,0.6042079207920793,0.6364681007121572,0.6042079207920793,0.6111774893883307,"R, G, B, R/Gratio, G/Bratio",11.89,Gabungan Fitur,5
rgb_R/Gratio_G/Bratio,Bagging SVM,0.6342585082253058,0.6662183679749876,0.6342585082253058,0.6425401779903195,0.6042079207920793,0.6364681007121572,0.6042079207920793,0.6111774893883307,"r, g, b, R/Gratio, G/Bratio",11.86,Gabungan Fitur,5
RGB_R/Gratio,Bagging SVM,0.6315030186168274,0.6600849479848095,0.6315030186168274,0.6367430723430366,0.6022475247524753,0.6366648758770738,0.6022475247524753,0.6085863224459388,"R, G, B, R/Gratio",12.41,Gabungan Fitur,4
rgb_R/Gratio,Bagging SVM,0.6315030186168274,0.6600849479848095,0.6315030186168274,0.6367430723430366,0.6022475247524753,0.6366648758770738,0.6022475247524753,0.6085863224459388,"r, g, b, R/Gratio",11.66,Gabungan Fitur,4
RGB_rgb_R/Gratio_G/Bratio,Bagging SVM,0.6345889047010769,0.6665702437138,0.6345889047010769,0.6417525609668672,0.6002772277227723,0.6347838063962238,0.6002772277227723,0.6072067654844548,"R, G, B, r, g, b, R/Gratio, G/Bratio",12.16,Gabungan Fitur,8
RGB_HSV_R/Gratio_G/Bratio,Bagging SVM,0.6234574212318289,0.6558659868304928,0.6234574212318289,0.6325074531188501,0.5982970297029703,0.6336060515235508,0.5982970297029703,0.6065863573374422,"R, G, B, R/Gratio, G/Bratio, H, S, V",12.26,Gabungan Fitur,8
rgb_HSV_R/Gratio_G/Bratio,Bagging SVM,0.6234574212318289,0.6558659868304928,0.6234574212318289,0.6325074531188501,0.5982970297029703,0.6336060515235508,0.5982970297029703,0.6065863573374422,"r, g, b, R/Gratio, G/Bratio, H, S, V",12.43,Gabungan Fitur,8
RGB_rgb_R/Gratio,Bagging SVM,0.6292978255273473,0.6603431843258348,0.6292978255273473,0.634582853488918,0.5972970297029703,0.6325757857035395,0.5972970297029703,0.6030820600585493,"R, G, B, r, g, b, R/Gratio",12.11,Gabungan Fitur,7
RGB_CLab_R/Gratio_G/Bratio,Bagging SVM,0.6234579069304335,0.6581485677750034,0.6234579069304335,0.6335095830165283,0.5963069306930694,0.636436309802706,0.5963069306930694,0.6060371745662149,"R, G, B, R/Gratio, G/Bratio, cL, ca, cb",12.32,Gabungan Fitur,8
rgb_CLab_R/Gratio_G/Bratio,Bagging SVM,0.6234579069304335,0.6581485677750034,0.6234579069304335,0.6335095830165283,0.5963069306930694,0.636436309802706,0.5963069306930694,0.6060371745662149,"r, g, b, R/Gratio, G/Bratio, cL, ca, cb",12.33,Gabungan Fitur,8
RGB_rgb_CLab_R/Gratio_G/Bratio,Bagging SVM,0.6276458431484927,0.6608518790212914,0.6276458431484927,0.6363513022709386,0.5963069306930694,0.634283832021792,0.5963069306930694,0.6049354217212463,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",12.63,Gabungan Fitur,11
RGB_rgb_HSV_R/Gratio,Bagging SVM,0.6285256861707036,0.6569244599548618,0.6285256861707036,0.634888757342611,0.5963069306930694,0.6274589182720622,0.5963069306930694,0.6023212463543622,"R, G, B, r, g, b, R/Gratio, H, S, V",12.61,Gabungan Fitur,10
RGB_rgb_HSV_R/Gratio_G/Bratio,Bagging SVM,0.6286376396990612,0.6602463760708489,0.6286376396990612,0.6367972493663314,0.5962970297029704,0.6290707956734344,0.5962970297029704,0.6031929137051765,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V",12.68,Gabungan Fitur,11
RGB_rgb_CLab_R/Gratio,Bagging SVM,0.6269825002792767,0.6574969554507801,0.6269825002792767,0.6342918766079989,0.5962871287128714,0.6316101690399349,0.5962871287128714,0.6032089965194861,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",12.39,Gabungan Fitur,10
RGB_CLab_R/Gratio,Bagging SVM,0.6244493392070485,0.6536261130287742,0.6244493392070485,0.632324128283988,0.5962772277227723,0.6307556116634924,0.5962772277227723,0.6042473511799447,"R, G, B, R/Gratio, cL, ca, cb",12.37,Gabungan Fitur,7
rgb_CLab_R/Gratio,Bagging SVM,0.6244493392070485,0.6536261130287742,0.6244493392070485,0.632324128283988,0.5962772277227723,0.6307556116634924,0.5962772277227723,0.6042473511799447,"r, g, b, R/Gratio, cL, ca, cb",12.11,Gabungan Fitur,7
RGB_rgb_G/Bratio,Bagging SVM,0.6194876851118807,0.6527609803956003,0.6194876851118807,0.6274685004914182,0.5953168316831683,0.6305399184748716,0.5953168316831683,0.6019820022642427,"R, G, B, r, g, b, G/Bratio",12.18,Gabungan Fitur,7
BAGGING SVM_PCA_n_components-3,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.49,Algoritma,1
BAGGING SVM_PCA_n_components-4,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.53,Algoritma,1
BAGGING SVM_PCA_n_components-5,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.51,Algoritma,1
BAGGING SVM_PCA_n_components-6,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.3,Algoritma,1
BAGGING SVM_PCA_n_components-7,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.62,Algoritma,1
BAGGING SVM_PCA_n_components-8,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.42,Algoritma,1
BAGGING SVM_PCA_n_components-9,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.4,Algoritma,1
BAGGING SVM_PCA_n_components-10,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.48,Algoritma,1
BAGGING SVM_PCA_n_components-11,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.68,Algoritma,1
BAGGING SVM_PCA_n_components-12,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.49,Algoritma,1
BAGGING SVM_PCA_n_components-13,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.64,Algoritma,1
BAGGING SVM_PCA_n_components-14,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,(tidak tersedia),13.53,Algoritma,1
BAGGING SVM_MUTUAL_INFO_n_features-3,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, cL",22.28,Algoritma,3
BAGGING SVM_MUTUAL_INFO_n_features-4,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, H, cL",12.67,Algoritma,4
BAGGING SVM_MUTUAL_INFO_n_features-5,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, H, S, cL",14.19,Algoritma,5
BAGGING SVM_MUTUAL_INFO_n_features-6,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, H, S, cL, ca",13.6,Algoritma,6
BAGGING SVM_MUTUAL_INFO_n_features-7,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R/Gratio, G/Bratio, H, S, cL, ca, cb",13.67,Algoritma,7
BAGGING SVM_MUTUAL_INFO_n_features-8,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"G, R/Gratio, G/Bratio, H, S, cL, ca, cb",13.39,Algoritma,8
BAGGING SVM_MUTUAL_INFO_n_features-9,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.54,Algoritma,9
BAGGING SVM_MUTUAL_INFO_n_features-10,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"G, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.44,Algoritma,10
BAGGING SVM_MUTUAL_INFO_n_features-11,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.56,Algoritma,11
BAGGING SVM_MUTUAL_INFO_n_features-12,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.41,Algoritma,12
BAGGING SVM_MUTUAL_INFO_n_features-13,Bagging SVM,0.6234582712043869,0.6570511378275639,0.6234582712043869,0.632868222673702,0.5953069306930694,0.6338832560079254,0.5953069306930694,0.6046557534645837,"R, G, B, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",13.47,Algoritma,13
