Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
ANN_MUTUAL_INFO_n_features-14,ANN,0.751984126984127,0.7627108067458596,0.751984126984127,0.7507564302903657,0.7090069284064665,0.7271091682139186,0.7090069284064665,0.7077588154585106,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",1.92,Algoritma,14
ANN_MUTUAL_INFO_n_features-10,ANN,0.7688492063492064,0.7909124637783175,0.7688492063492064,0.7686062794372126,0.7043879907621247,0.7277847729637568,0.7043879907621247,0.70514269610805,"R, G, r, R/Gratio, G/Bratio, H, S, cL, ca, cb",1.94,Algoritma,10
RGB_rgb_G/Bratio,ANN,0.7271825396825397,0.7555719344772117,0.7271825396825397,0.7259134408519157,0.6997690531177829,0.7313601167602739,0.6997690531177829,0.6991773642062326,"R, G, B, r, g, b, G/Bratio",1.69,Gabungan Fitur,7
RGB_rgb,ANN,0.7281746031746031,0.7432658536473864,0.7281746031746031,0.7315058098708719,0.6997690531177829,0.7208294687158663,0.6997690531177829,0.7049283697030889,"R, G, B, r, g, b",1.36,Gabungan Fitur,6
RGB_rgb_CLab_R/Gratio_G/Bratio,ANN,0.7232142857142857,0.7504724653067989,0.7232142857142857,0.7246653402285037,0.6974595842956121,0.7311704917012969,0.6974595842956121,0.6990637214907844,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",1.15,Gabungan Fitur,11
RGB,ANN,0.7331349206349206,0.7556900425381005,0.7331349206349206,0.7340169976986356,0.6974595842956121,0.7257333413705663,0.6974595842956121,0.699310631969684,"R, G, B",2.18,Gabungan Fitur,3
rgb,ANN,0.7331349206349206,0.7556900425381005,0.7331349206349206,0.7340169976986356,0.6974595842956121,0.7257333413705663,0.6974595842956121,0.699310631969684,"r, g, b",2.02,Gabungan Fitur,3
ANN_PCA_n_components-13,ANN,0.7638888888888888,0.7838296454688549,0.7638888888888888,0.7629266235745252,0.6974595842956121,0.7180933553709709,0.6974595842956121,0.6936456265362847,(tidak tersedia),2.03,Algoritma,1
ANN_PCA_n_components-3,ANN,0.7371031746031746,0.757382716905738,0.7371031746031746,0.7360379501568606,0.6951501154734411,0.7248955604810883,0.6951501154734411,0.6957141734256485,(tidak tersedia),1.73,Algoritma,1
RGB_rgb_HSV_CLab,ANN,0.7371031746031746,0.763539787409926,0.7371031746031746,0.7359480730448432,0.6951501154734411,0.7235213147811447,0.6951501154734411,0.6941551648767775,"R, G, B, r, g, b, H, S, V, cL, ca, cb",1.51,Gabungan Fitur,12
